"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2941","Update customer with invalid street data type","sales-portal-api","Sat Dec 13 22:23:24 UTC 2025","passed","Sat Dec 13 22:23:27 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","2908","customer already deleted","sales-portal-api","Sat Dec 13 22:22:59 UTC 2025","passed","Sat Dec 13 22:23:02 UTC 2025","Delete customer > positive","","",""
"","2766","Creat product without name","sales-portal-api","Sat Dec 13 22:23:42 UTC 2025","passed","Sat Dec 13 22:23:44 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
"","16689","Pagination for not existed page","sales-portal-api","Sat Dec 13 22:24:54 UTC 2025","passed","Sat Dec 13 22:25:10 UTC 2025","[API] [Sales Portal] [Products] Pagination > pagination","","",""
"","153","Create customer with invalid name data type","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:22:57 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","2566","Create a customer with empty required field phone","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:03 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","21203","Update an order with invalid token","sales-portal-api","Sat Dec 13 22:23:47 UTC 2025","passed","Sat Dec 13 22:24:08 UTC 2025","[API] [Sales Portal] [Orders] > [Update Negative]","","",""
"","0","Delete comment by valid id","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Delete Comment By Id]","","",""
"","7494","Update a customer using an email that already exists","sales-portal-api","Sat Dec 13 22:23:18 UTC 2025","passed","Sat Dec 13 22:23:26 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","4932","Update a customer with valid data for all fields","sales-portal-api","Sat Dec 13 22:23:08 UTC 2025","passed","Sat Dec 13 22:23:13 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","16979","SortField: createdOn, sortOrder: desc","sales-portal-api","Sat Dec 13 22:24:35 UTC 2025","failed","Sat Dec 13 22:24:52 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","21075","SortField: manufacturer, sortOrder: asc","sales-portal-api","Sat Dec 13 22:24:32 UTC 2025","failed","Sat Dec 13 22:24:53 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","2919","Update customer with invalid email data type","sales-portal-api","Sat Dec 13 22:23:14 UTC 2025","passed","Sat Dec 13 22:23:17 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","7042","sort by name","sales-portal-api","Sat Dec 13 22:23:04 UTC 2025","passed","Sat Dec 13 22:23:11 UTC 2025","Get customers all > positive","","",""
"","8825","SortField: price, sortOrder: desc","sales-portal-api","Sat Dec 13 22:24:43 UTC 2025","failed","Sat Dec 13 22:24:51 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","2984","Update customer with invalid city data type","sales-portal-api","Sat Dec 13 22:23:21 UTC 2025","passed","Sat Dec 13 22:23:24 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","21619","SortField: createdOn, sortOrder: asc","sales-portal-api","Sat Dec 13 22:24:31 UTC 2025","failed","Sat Dec 13 22:24:53 UTC 2025","[Sorting Product] [Search Product] > Sorting","","",""
"","2410","Create a customer with empty required field street","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:23:00 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","3129","Delete Product without TOKEN","sales-portal-api","Sat Dec 13 22:23:50 UTC 2025","passed","Sat Dec 13 22:23:53 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","2752","Creat product with invalid price = 100000","sales-portal-api","Sat Dec 13 22:23:39 UTC 2025","passed","Sat Dec 13 22:23:41 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
"","2951","Update customer with invalid notes data type","sales-portal-api","Sat Dec 13 22:23:27 UTC 2025","passed","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","2713","Get customer by existing ID without token","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:04 UTC 2025","[API] [Sales Portal] [Customers] > [Get By ID Negative]","","",""
"","10079","Should NOT update product with existing product name","sales-portal-api","Sat Dec 13 22:24:56 UTC 2025","passed","Sat Dec 13 22:25:06 UTC 2025","[API] [Sales Portal] [Products] > NOT SMOKE","","",""
"","4946","Update a customer with field notes","sales-portal-api","Sat Dec 13 22:23:17 UTC 2025","passed","Sat Dec 13 22:23:22 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","4937","Update a customer with field city","sales-portal-api","Sat Dec 13 22:23:18 UTC 2025","passed","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Customers] > [Update Positive]","","",""
"","6741","Update product with invalid data: amount less than min valid","sales-portal-api","Sat Dec 13 22:25:06 UTC 2025","passed","Sat Dec 13 22:25:13 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6408","Get orders for customer","sales-portal-api","Sat Dec 13 22:23:05 UTC 2025","passed","Sat Dec 13 22:23:11 UTC 2025","[API] [Sales Portal] [Customers] > [Customer Orders]","","",""
"","0","Try to delete comment by id from another order","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Delete Comment By Id]","","",""
"","2766","Creat product with invalid amount = -5","sales-portal-api","Sat Dec 13 22:23:40 UTC 2025","passed","Sat Dec 13 22:23:43 UTC 2025","[API] [Sales Portal] [Products Negative test]","","",""
"","0","Delete comment by invalid id","sales-portal-api","Sat Dec 13 22:23:30 UTC 2025","skipped","Sat Dec 13 22:23:30 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Delete Comment By Id]","","",""
"","432","Create customer with invalid notes data type","sales-portal-api","Sat Dec 13 22:22:58 UTC 2025","passed","Sat Dec 13 22:22:58 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","6495","Update product with valid data: name with min valid length","sales-portal-api","Sat Dec 13 22:25:12 UTC 2025","passed","Sat Dec 13 22:25:18 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","0","Add comment with < and > symbols","sales-portal-api","Sat Dec 13 22:23:23 UTC 2025","skipped","Sat Dec 13 22:23:23 UTC 2025","[API] [Sales Portal] [Orders] [Comments] [Add Comment]","","",""
"","329","NOT create product with invalid data","sales-portal-api","Sat Dec 13 22:23:37 UTC 2025","passed","Sat Dec 13 22:23:37 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","6448","Update product with valid data: name with only one space","sales-portal-api","Sat Dec 13 22:25:13 UTC 2025","passed","Sat Dec 13 22:25:19 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","4009","Should NOT update product without token","sales-portal-api","Sat Dec 13 22:24:55 UTC 2025","passed","Sat Dec 13 22:24:59 UTC 2025","[API] [Sales Portal] [Products] > NOT SMOKE","","",""
"","2611","Create a customer with empty required field email","sales-portal-api","Sat Dec 13 22:22:58 UTC 2025","passed","Sat Dec 13 22:23:00 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","2985","Update customer with invalid flat data type","sales-portal-api","Sat Dec 13 22:23:21 UTC 2025","passed","Sat Dec 13 22:23:24 UTC 2025","[API] [Sales Portal] [Customers] > [Update Negative]","","",""
"","6793","Smoke for all products (without filter parameters)","sales-portal-api","Sat Dec 13 22:23:52 UTC 2025","passed","Sat Dec 13 22:23:59 UTC 2025","[API] [Sales Portal] [Products]","","",""
